"Parameter list for UoR daily climate record, 1908 to date",,,"CSV file, updated August 2026 SB"
,,,
Parameter name,Units,Description,Notes
YYYY,,"Year, 4 digits",
MM,,"Month, 01-12",
DD,,"Date, 01-31",
Date,,Combined date in form d mmm YYYY,
Week Day,,"Sunday = 1, Monday = 2 etc",
Year Day,,"Sunday, 1",
Week No,,"Week no. 1 always begins on 1 January; week 53 thus includes only day 365 (31 December), or 365 and 366 (30 and 31 Dec) in leap years",
"Tmax, °C",°C,Daily maximum temperature 09-09h UTC,Commences 1 Jan 1908: some gaps 1914-17 completed from nearby stations
"Tmin, °C",°C,Daily minimum temperature 09-09h UTC,Commences 1 Jan 1908: some gaps 1914-17 completed from nearby stations
"Tgrass, °C",°C,Daily grass minimum temperature 09-09h UTC,Commences 23 Jan 1920. Occasionally missing in winter months when covered in snow
"Tmean, °C",°C,Daily mean temperature (average of Tmax and Tmin),As Tmax/Tmin
"Trange, °C",K,Diurnal range in temperature (max - min),As Tmax/Tmin
AirFrost 0/1,0/1,Daily minimum temperature 09-09h UTC below 0 °C,As Tmin
GrdFrost 0/1,0/1,Daily grass minimum temperature 09-09h UTC below 0 °C,As Grass temperature
IceDay 0/1,0/1,Daily maximum temperature 09-09h UTC below 0 °C,As Tmax
Tmax25C 0/1,0/1,Daily maximum temperature 09-09h UTC at or above 25 °C,As Tmax
Tmax30C 0/1,0/1,Daily maximum temperature 09-09h UTC at or above 30 °C,As Tmax
Tmin15C 0/1,0/1,Daily minimum temperature 09-09h UTC at or above 15 °C,As Tmin
"T10, °C",°C,"Soil temperature at 10 cm depth, at 0900 UTC",Commences 8 June 1961
"T30, °C",°C,"Earth temperature at 30 cm depth, at 0900 UTC",Commences 1 Jan 1910
"T100, °C",°C,"Earth temperature at 100 cm depth, at 0900 UTC",Commences 1 Jan 1971
"Rain 09-09, mm",mm,"Daily rainfall amount 0900-0900 UTC, thrownback",Commences 1 Jan 1908: some gaps 1914-17 completed from nearby stations
"Rain 09-09, mm (NoTraces)",mm,"Daily rainfall amount 0900-0900 UTC, thrownback, excluding trace entries",Commences 1 Jan 1908: some gaps 1914-17 completed from nearby stations
"Rain cumul from 1 Jan, mm",mm,Accumulated rainfall amount since 1 January to that date,As Rain
"Rain Durn, h",h,"Daily rainfall duration 0900-0900 UTC, thrownback",Commences 1 Nov 1960
