clean_name,raw_name,units
TimeStamp,TimeStamp,UTC
DecHour,DecHour,h.hhhh
DecDay,DecDay,d.dddddd
Sg,Sg,W/m^2
Sd,Sd,W/m^2
Sb,Sb,W/m^2
Sb(csd3),Sb(csd3),W/m^2
Sdw,Sdw,W/m^2
Suw,Suw,W/m^2
Ldw(uc),Ldw(uc),W/m^2
Luw(uc),Luw(uc),W/m^2
CNR4T,CNR4T,degC
Rn,Rn,W/m^2
G,G,W/m^2
RH,RH,%
Sdur,Sdur,mins
Td,Td,degC
Tw,Tw,degC
Tconc,Tconc,degC
Tgrass,Tgrass,degC
Tsoil,Tsoil,degC
TSoil5,TSoil5,degC
TSoil10,TSoil10,degC
TSoil20,TSoil20,degC
TSoil30,TSoil30,degC
TSoil50,TSoil50,degC
TSoil100,TSoil100,degC
T0.56,T0.56,degC
T1.12,T1.12,degC
T2.24,T2.24,degC
T4.48,T4.48,degC
JamesCoronaTest,JamesCoronaTest,V
PG,PG,V/m
iCP,iCP,pA
iFP,iFP,pA
U,U,m/s
V,V,m/s
W,W,m/s
RHProjScreen,RHProjScreen,%
RHProjAsp,RHProjAsp,%
PointDischarge,PointDischarge,V
Dirn10,Dirn10,degs
U0.56,U0.56,m/s
U0.8,U0.8,m/s
U1.12,U1.12,m/s
U1.6,U1.6,m/s
U2,U2,m/s
U2.24,U2.24,m/s
U3.2,U3.2,m/s
U4.48,U4.48,m/s
U5,U5,m/s
U6.4,U6.4,m/s
U10,U10,m/s
Rain,Rain,mm
P,P,hPa
